variable,type,description,source,geography
pfhpa_5_maxcws_weighted,numeric,Population-weighted max PFHpA (UCMR5) concentration,UCMR (script 03),tract
pfhxa_medcws_weighted,numeric,Population-weighted median PFHxA concentration,UCMR (script 03),tract
pfhxa_maxcws_weighted,numeric,Population-weighted max PFHxA concentration,UCMR (script 03),tract
pfhxs_5_medcws_weighted,numeric,Population-weighted median PFHxS (UCMR5) concentration,UCMR (script 03),tract
pfhxs_5_maxcws_weighted,numeric,Population-weighted max PFHxS (UCMR5) concentration,UCMR (script 03),tract
pfna_5_medcws_weighted,numeric,Population-weighted median PFNA (UCMR5) concentration,UCMR (script 03),tract
pfna_5_maxcws_weighted,numeric,Population-weighted max PFNA (UCMR5) concentration,UCMR (script 03),tract
pfoa_5_medcws_weighted,numeric,Population-weighted median PFOA (UCMR5) concentration,UCMR (script 03),tract
pfoa_5_maxcws_weighted,numeric,Population-weighted max PFOA (UCMR5) concentration,UCMR (script 03),tract
pfos_5_medcws_weighted,numeric,Population-weighted median PFOS (UCMR5) concentration,UCMR (script 03),tract
pfos_5_maxcws_weighted,numeric,Population-weighted max PFOS (UCMR5) concentration,UCMR (script 03),tract
pfpea_medcws_weighted,numeric,Population-weighted median PFPeA concentration,UCMR (script 03),tract
pfpea_maxcws_weighted,numeric,Population-weighted max PFPeA concentration,UCMR (script 03),tract
pfasany_5t_sumcwsmed_weighted,numeric,Population-weighted sum of all PFAS medians (UCMR5 total),UCMR (script 03),tract
pfasany_5t_sumcwsmax_weighted,numeric,Population-weighted sum of all PFAS maxes (UCMR5 total),UCMR (script 03),tract
pfasany_5_sumcwsmed_weighted,numeric,Population-weighted sum of all PFAS medians (UCMR5),UCMR (script 03),tract
pfasany_5_sumcwsmax_weighted,numeric,Population-weighted sum of all PFAS maxes (UCMR5),UCMR (script 03),tract
pfospfoa_5_sumcwsmax_weighted,numeric,Population-weighted sum of PFOS+PFOA max values (UCMR5),UCMR (script 03),tract
pfoa_35_maxcws_weighted,numeric,Population-weighted max PFOA (harmonized UCMR 3+5),UCMR (script 03),tract
pfoa_35_medcws_weighted,numeric,Population-weighted median PFOA (harmonized UCMR 3+5),UCMR (script 03),tract
pfos_35_maxcws_weighted,numeric,Population-weighted max PFOS (harmonized UCMR 3+5),UCMR (script 03),tract
pfos_35_medcws_weighted,numeric,Population-weighted median PFOS (harmonized UCMR 3+5),UCMR (script 03),tract
pfna_35_maxcws_weighted,numeric,Population-weighted max PFNA (harmonized UCMR 3+5),UCMR (script 03),tract
pfna_35_medcws_weighted,numeric,Population-weighted median PFNA (harmonized UCMR 3+5),UCMR (script 03),tract
pfhxs_35_maxcws_weighted,numeric,Population-weighted max PFHxS (harmonized UCMR 3+5),UCMR (script 03),tract
pfhxs_35_medcws_weighted,numeric,Population-weighted median PFHxS (harmonized UCMR 3+5),UCMR (script 03),tract
pfbs_35_maxcws_weighted,numeric,Population-weighted max PFBS (harmonized UCMR 3+5),UCMR (script 03),tract
pfbs_35_medcws_weighted,numeric,Population-weighted median PFBS (harmonized UCMR 3+5),UCMR (script 03),tract
pfhpa_35_maxcws_weighted,numeric,Population-weighted max PFHpA (harmonized UCMR 3+5),UCMR (script 03),tract
pfhpa_35_medcws_weighted,numeric,Population-weighted median PFHpA (harmonized UCMR 3+5),UCMR (script 03),tract
chlorate_medcws_weighted,numeric,Population-weighted median chlorate (DBP) concentration,UCMR (script 03),tract
chlorate_maxcws_weighted,numeric,Population-weighted max chlorate concentration,UCMR (script 03),tract
chromium_medcws_weighted,numeric,Population-weighted median total chromium concentration,UCMR (script 03),tract
chromium_maxcws_weighted,numeric,Population-weighted max total chromium concentration,UCMR (script 03),tract
chromium6_medcws_weighted,numeric,Population-weighted median hexavalent chromium concentration,UCMR (script 03),tract
chromium6_maxcws_weighted,numeric,Population-weighted max hexavalent chromium concentration,UCMR (script 03),tract
cobalt_medcws_weighted,numeric,Population-weighted median cobalt concentration,UCMR (script 03),tract
cobalt_maxcws_weighted,numeric,Population-weighted max cobalt concentration,UCMR (script 03),tract
molybdenum_medcws_weighted,numeric,Population-weighted median molybdenum concentration,UCMR (script 03),tract
molybdenum_maxcws_weighted,numeric,Population-weighted max molybdenum concentration,UCMR (script 03),tract
strontium_medcws_weighted,numeric,Population-weighted median strontium concentration,UCMR (script 03),tract
strontium_maxcws_weighted,numeric,Population-weighted max strontium concentration,UCMR (script 03),tract
vanadium_medcws_weighted,numeric,Population-weighted median vanadium concentration,UCMR (script 03),tract
vanadium_maxcws_weighted,numeric,Population-weighted max vanadium concentration,UCMR (script 03),tract
fts62_medcws_weighted,numeric,Population-weighted median 6:2 FTS (fluorotelomer sulfonate) concentration,UCMR (script 03),tract
fts62_maxcws_weighted,numeric,Population-weighted max 6:2 FTS concentration,UCMR (script 03),tract
lithium_medcws_weighted,numeric,Population-weighted median lithium concentration,UCMR (script 03),tract
lithium_maxcws_weighted,numeric,Population-weighted max lithium concentration,UCMR (script 03),tract
haa5_medcws_weighted,numeric,Population-weighted median HAA5 (haloacetic acids group of 5) concentration,UCMR (script 03),tract
haa5_maxcws_weighted,numeric,Population-weighted max HAA5 concentration,UCMR (script 03),tract
haa6br_medcws_weighted,numeric,Population-weighted median HAA6Br (brominated haloacetic acids) concentration,UCMR (script 03),tract
haa6br_maxcws_weighted,numeric,Population-weighted max HAA6Br concentration,UCMR (script 03),tract
haa9_medcws_weighted,numeric,Population-weighted median HAA9 (haloacetic acids group of 9) concentration,UCMR (script 03),tract
haa9_maxcws_weighted,numeric,Population-weighted max HAA9 concentration,UCMR (script 03),tract
butanol1_medcws_weighted,numeric,Population-weighted median 1-butanol concentration,UCMR (script 03),tract
butanol1_maxcws_weighted,numeric,Population-weighted max 1-butanol concentration,UCMR (script 03),tract
germanium_medcws_weighted,numeric,Population-weighted median germanium concentration,UCMR (script 03),tract
germanium_maxcws_weighted,numeric,Population-weighted max germanium concentration,UCMR (script 03),tract
manganese_medcws_weighted,numeric,Population-weighted median manganese concentration,UCMR (script 03),tract
manganese_maxcws_weighted,numeric,Population-weighted max manganese concentration,UCMR (script 03),tract
tract_total_pop,numeric,Total tract population from 2010 Census,Census / DuckDB (script 03),tract
n_cws_ucmr,integer,Number of UCMR-participating public water systems serving this tract,Derived (script 03),tract
ct_pop_cws,numeric,Estimated total tract population served by any UCMR cws (via areal interpolation),Derived (script 03),tract
dcpa_detectcws,binary (0/1/NA),Any cws serving the tract had a DCPA detection,UCMR (script 03),tract
perchlorate_detectcws,binary (0/1/NA),Any cws serving the tract had a perchlorate detection,UCMR (script 03),tract
dichloroethane11_detectcws,binary (0/1/NA),Any cws serving the tract had a 1-1-dichloroethane detection,UCMR (script 03),tract
dioxane14_detectcws,binary (0/1/NA),Any cws serving the tract had a 1-4-dioxane detection,UCMR (script 03),tract
hcfc22_detectcws,binary (0/1/NA),Any cws serving the tract had an HCFC-22 detection,UCMR (script 03),tract
halon1011_detectcws,binary (0/1/NA),Any cws serving the tract had a Halon 1011 detection,UCMR (script 03),tract
pfbs_3_detectcws,binary (0/1/NA),Any cws had PFBS detection (UCMR3),UCMR (script 03),tract
pfhpa_3_detectcws,binary (0/1/NA),Any cws had PFHpA detection (UCMR3),UCMR (script 03),tract
pfhxs_3_detectcws,binary (0/1/NA),Any cws had PFHxS detection (UCMR3),UCMR (script 03),tract
pfna_3_detectcws,binary (0/1/NA),Any cws had PFNA detection (UCMR3),UCMR (script 03),tract
pfoa_3_detectcws,binary (0/1/NA),Any cws had PFOA detection (UCMR3),UCMR (script 03),tract
pfos_3_detectcws,binary (0/1/NA),Any cws had PFOS detection (UCMR3),UCMR (script 03),tract
chlorate_detectcws,binary (0/1/NA),Any cws had chlorate detection,UCMR (script 03),tract
chromium_detectcws,binary (0/1/NA),Any cws had total chromium detection,UCMR (script 03),tract
chromium6_detectcws,binary (0/1/NA),Any cws had hexavalent chromium detection,UCMR (script 03),tract
cobalt_detectcws,binary (0/1/NA),Any cws had cobalt detection,UCMR (script 03),tract
molybdenum_detectcws,binary (0/1/NA),Any cws had molybdenum detection,UCMR (script 03),tract
strontium_detectcws,binary (0/1/NA),Any cws had strontium detection,UCMR (script 03),tract
vanadium_detectcws,binary (0/1/NA),Any cws had vanadium detection,UCMR (script 03),tract
pfasany_3_detectcws,binary (0/1/NA),Any cws had any PFAS detection (UCMR3),UCMR (script 03),tract
fts62_detectcws,binary (0/1/NA),Any cws had 6:2 FTS detection,UCMR (script 03),tract
pfba_detectcws,binary (0/1/NA),Any cws had PFBA detection,UCMR (script 03),tract
pfbs_5_detectcws,binary (0/1/NA),Any cws had PFBS detection (UCMR5),UCMR (script 03),tract
pfhpa_5_detectcws,binary (0/1/NA),Any cws had PFHpA detection (UCMR5),UCMR (script 03),tract
pfhxa_detectcws,binary (0/1/NA),Any cws had PFHxA detection,UCMR (script 03),tract
pfhxs_5_detectcws,binary (0/1/NA),Any cws had PFHxS detection (UCMR5),UCMR (script 03),tract
pfna_5_detectcws,binary (0/1/NA),Any cws had PFNA detection (UCMR5),UCMR (script 03),tract
pfoa_5_detectcws,binary (0/1/NA),Any cws had PFOA detection (UCMR5),UCMR (script 03),tract
pfos_5_detectcws,binary (0/1/NA),Any cws had PFOS detection (UCMR5),UCMR (script 03),tract
pfpea_detectcws,binary (0/1/NA),Any cws had PFPeA detection,UCMR (script 03),tract
lithium_detectcws,binary (0/1/NA),Any cws had lithium detection,UCMR (script 03),tract
pfasany_5t_detectcws,binary (0/1/NA),Any cws had any PFAS detection (UCMR5 total),UCMR (script 03),tract
pfasany_5_detectcws,binary (0/1/NA),Any cws had any PFAS detection (UCMR5),UCMR (script 03),tract
pfoa_35_detectcws,binary (0/1/NA),Any cws had PFOA detection (harmonized UCMR 3+5),UCMR (script 03),tract
pfos_35_detectcws,binary (0/1/NA),Any cws had PFOS detection (harmonized UCMR 3+5),UCMR (script 03),tract
pfna_35_detectcws,binary (0/1/NA),Any cws had PFNA detection (harmonized UCMR 3+5),UCMR (script 03),tract
pfhxs_35_detectcws,binary (0/1/NA),Any cws had PFHxS detection (harmonized UCMR 3+5),UCMR (script 03),tract
pfbs_35_detectcws,binary (0/1/NA),Any cws had PFBS detection (harmonized UCMR 3+5),UCMR (script 03),tract
pfhpa_35_detectcws,binary (0/1/NA),Any cws had PFHpA detection (harmonized UCMR 3+5),UCMR (script 03),tract
haa5_detectcws,binary (0/1/NA),Any cws had HAA5 detection,UCMR (script 03),tract
haa6br_detectcws,binary (0/1/NA),Any cws had HAA6Br detection,UCMR (script 03),tract
haa9_detectcws,binary (0/1/NA),Any cws had HAA9 detection,UCMR (script 03),tract
butanol1_detectcws,binary (0/1/NA),Any cws had 1-butanol detection,UCMR (script 03),tract
germanium_detectcws,binary (0/1/NA),Any cws had germanium detection,UCMR (script 03),tract
manganese_detectcws,binary (0/1/NA),Any cws had manganese detection,UCMR (script 03),tract
cws_coverage_proportion,numeric (0-1),Proportion of tract total population served by UCMR cws (ct_pop_cws / tract_total_pop); tracts <0.5 excluded,Derived (script 03),tract
prop_no_cws,numeric (0-1),Estimated proportion of tract population NOT served by any UCMR cws (1 - cws_coverage_proportion),Derived (script 03),tract
name,character,Census tract name from ACS (e.g. 'Census Tract 201 Autauga County Alabama'),ACS 5-year 2010 via tidycensus,tract
race_total_e,integer,Total population (ACS estimate; denominator for race shares),ACS 5-year 2010 (B03002_001),tract
race_whitenh,numeric (0-1),Proportion non-Hispanic White,ACS 5-year 2010 (B03002_003),tract
race_blacknh,numeric (0-1),Proportion non-Hispanic Black,ACS 5-year 2010 (B03002_004),tract
race_asiannh,numeric (0-1),Proportion non-Hispanic Asian,ACS 5-year 2010 (B03002_006),tract
race_hisp,numeric (0-1),Proportion Hispanic/Latino,ACS 5-year 2010 (B03002_012),tract
race_multiplenh,numeric (0-1),Proportion non-Hispanic multiracial,ACS 5-year 2010 (B03002_009),tract
race_othernh,numeric (0-1),Proportion non-Hispanic other (AIAN + NHPI + other),ACS 5-year 2010 (B03002_005+007+008),tract
pov_allage,numeric (0-1),Poverty rate all ages (below poverty / total),ACS 5-year 2010 (B17001),tract
medhhinc,numeric,Median household income (dollars),ACS 5-year 2010 (B19013_001),tract
pct_hsplus,numeric (0-1),Proportion of population 25+ with high school degree or higher,ACS 5-year 2010 (B15002),tract
aland10,numeric,Land area in square meters (from TIGER/Line),Census TIGER 2010 via tigris,tract
pop_density_sqkm,numeric,Population density per square kilometer (race_total_e / aland10 in km2),Derived from ACS + TIGER,tract
tree_can,numeric,Mean tree canopy cover percentage (zonal mean of NLCD pixels within tract),MRLC NLCD Tree Canopy 2008,tract
gisjoin,character,NHGIS-style tract identifier from NDVI source data,GEE / NHGIS,tract
ndvi_max,numeric,Maximum growing-season NDVI value (water-masked),Landsat 5/7 via GEE 2008,tract
ndvi_mean,numeric,Mean growing-season NDVI value (water-masked),Landsat 5/7 via GEE 2008,tract
ndvi_median,numeric,Median growing-season NDVI value (water-masked),Landsat 5/7 via GEE 2008,tract
nobs_mean,numeric,Mean number of valid Landsat observations per pixel within tract,Landsat 5/7 via GEE 2008,tract
mean_pm25_value,numeric,Annual mean PM2.5 concentration (ug/m3) from EPA downscaler model,EPA RSIG Downscaler 2008,tract
mean_pm25_sd,numeric,Annual mean standard error of PM2.5 downscaler estimate (ug/m3),EPA RSIG Downscaler 2008,tract
arsenic_fin_median_weighted,numeric,Population-weighted median arsenic concentration from EPA 6-year review (SYR 2-4),EPA Six-Year Review (code/epa_6yr_treview/),tract
tthm_fin_median_weighted,numeric,Population-weighted median TTHM concentration from EPA 6-year review (SYR 2-4),EPA Six-Year Review (code/epa_6yr_treview/),tract
n_cws_syr,integer,Number of 6-year-review cws serving the tract,Derived (epa_6yr_treview scripts),tract
ct_pop_cws_syr,numeric,Estimated tract population served by 6-year-review cws,Derived (epa_6yr_treview scripts),tract
arsenic_detect_flag,binary (0/1/NA),Any 6-year-review cws had arsenic detection,EPA Six-Year Review,tract
tthm_detect_flag,binary (0/1/NA),Any 6-year-review cws had TTHM detection,EPA Six-Year Review,tract
co_geoid,character (5-digit FIPS),County FIPS code (derived from first 5 chars of tract_geoid),Derived (script 05),county
county_name_clean,character,County name from smoking prevalence source data,Dwyer-Lindgren et al.,county
statefp10,character (2-digit FIPS),State FIPS code from smoking prevalence source,Dwyer-Lindgren et al.,county
smoking_prev,numeric,Modeled total smoking prevalence (%) for the county in 2008,Dwyer-Lindgren et al. (PMC3987818),county
smoking_prev_lower,numeric,Lower bound of smoking prevalence confidence interval,Dwyer-Lindgren et al.,county
smoking_prev_upper,numeric,Upper bound of smoking prevalence confidence interval,Dwyer-Lindgren et al.,county
